_id,map_id,ogc_fid,stop_numbe,name,category,reference,language,the_geom
81,bus_line_7_no_20,1438,20,ប៉ុស្ត៍លេខ៣,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000BEAE418B48DA1D4158AC8F646D913341
82,bus_line_4_no_1,872,1,សួនច្បារឬស្សីកែវ,ខ្សែរថយន្តក្រុងទី ៤,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000FF5D769332F91D4153010E76B2933341
83,bus_line_1_no_58,96,58,ផ្សារធំថ្មី,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B3C1F499B1F91D41BD1EBAC79E833341
84,bus_line_1_no_66,114,66,វិទ្យាល័យព្រះយុគន្ធរ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000068126F542FD1D41D3E3A2E3957D3341
85,bus_line_2_no_51,678,51,រង្វង់មូលតាខ្មៅ,ខ្សែរថយន្តក្រុងទី ២,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000006AE88D00C5251E4144021221105E3341
86,bus_line_2_no_26,622,26,ក្រសួងវប្បធម៌ និងវិចិត្រសិល្បៈ,ខ្សែរថយន្តក្រុងទី ២,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000814D85D3950D1E4109DBC99F0C743341
87,bus_line_2_no_22,614,22,ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ,ខ្សែរថយន្តក្រុងទី ២,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000A48256BD9091E413EE269256E783341
88,bus_line_2_no_23,616,23,ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ,ខ្សែរថយន្តក្រុងទី ២,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000937A0E2B5E091E415647C2AC70783341
89,bus_line_5_no_70,1288,70,ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009A485B6871081E41B0BA677FF1783341
90,bus_line_5_no_71,1290,71,ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B93D3ECF56081E41ECAC92BF0F793341
91,bus_line_5_no_72,1292,72,សណ្ឋាគារសូហ្វីថេល ភូគីត្រា,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000CC12A39FE20D1E41BDB98377AA793341
92,bus_line_5_no_73,1294,73,សណ្ឋាគារសូហ្វីថេល ភូគីត្រា,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000F8C5146E260E1E41D6AC8BC29E793341
93,bus_line_5_no_74,1296,74,ផ្សារអ៉ីីអន ១,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000098EA37A44C151E415740D3584F7A3341
94,bus_line_2_no_10,588,10,វិទ្យាល័យព្រះស៊ីសុវត្ថិ,ខ្សែរថយន្តក្រុងទី ២,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009C8B38FB42051E41F2630B8ABD823341
95,bus_line_3_no_54,810,54,ផ្សារស៊ិនជូរីផ្លាហ្សា,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000053F002041F8E1D419829454ACE803341
96,bus_line_3_no_52,806,52,វិទ្យាល័យហ៊ុនសែនពោធ៍ចិនតុង,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000CAD9681F3931D41B64531D61B813341
97,bus_line_3_no_48,796,48,ក្រសួងពាណិជ្ជកម្ម,ខ្សែរថយន្តក្រុងទី ៣,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000007ECDDFC3E69D1D41F5935BBB0B813341
98,bus_line_7_no_41,1484,41,មន្ទីីរសម្រាកព្យាបាល អរុណរះ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000003B79F535C0C81D41A9B520EF3F803341
99,bus_line_7_no_40,1482,40,មន្ទីីរសម្រាកព្យាបាល អរុណរះ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000DF5D59B0DEC71D419CB1A733E17F3341
100,bus_line_7_no_42,1486,42,សាលាបឋមសិក្សា អនុវត្តន៍រាជធានី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000E2C0BEFD0BC41D4111E3D65B3F7E3341
101,bus_line_7_no_45,1492,45,អគ្គនាយកដ្ឋានកសិកម្ម,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000884637FDA0C51D415C3DAE13317C3341
102,bus_line_7_no_46,1494,46,វិទ្យាល័យជាស៊ីមសាមគ្គី,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000011C0586B87CA1D419D2D2914697B3341
103,bus_line_7_no_49,1500,49,ស្ពានអាកាស ស្ទឹងមានជ័យ,ខ្សែរថយន្តក្រុងទី ៧,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000AFC37DCBD8D21D41DE38C0E63E7B3341
104,bus_line_5_no_56,1256,56,ផ្សារដើមគរ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000D7F5A566DADD1D417195A14F0A7D3341
105,bus_line_5_no_57,1258,57,ផ្សារដើមគរ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000A5B73A2952DD1D4169D81F48017D3341
106,bus_line_5_no_55,1254,55,មជ្ឈមណ្ឌលម៉ុងឌីយ៉ាល់,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000003D2247B4FEDB1D413287F32C11803341
107,bus_line_5_no_54,1252,54,មជ្ឈមណ្ឌលម៉ុងឌីយ៉ាល់,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000092B5D18A70DC1D41F93DB44208803341
